lat,lon,data
0,0,3.00162517438905185e+00
0,1,3.00161953094947354e+00
0,2,3.00160841625118602e+00
0,3,3.00159224323645990e+00
0,4,3.00157179668865348e+00
0,5,3.00154840418900992e+00
0,6,3.00152408770766943e+00
0,7,3.00150157964019382e+00
0,8,3.00148404239760769e+00
0,9,3.00147439109827063e+00
1,0,3.00158294702492512e+00
1,1,3.00157713089721012e+00
1,2,3.00156560202681755e+00
1,3,3.00154864191877113e+00
1,4,3.00152686404541980e+00
1,5,3.00150144425338450e+00
1,6,3.00147438877060724e+00
1,7,3.00144871128661883e+00
1,8,3.00142825292244675e+00
1,9,3.00141683277564386e+00
2,0,3.00149856974850104e+00
2,1,3.00149247725462898e+00
2,2,3.00148025183237310e+00
2,3,3.00146188919828516e+00
2,4,3.00143760054459463e+00
2,5,3.00140814160500469e+00
2,6,3.00137532592816436e+00
2,7,3.00134262948526187e+00
2,8,3.00131542337713375e+00
2,9,3.00129984797554306e+00
3,0,3.00137212804871112e+00
3,1,3.00136579983268970e+00
3,2,3.00135288212451945e+00
3,3,3.00133290471962866e+00
3,4,3.00130534644387126e+00
3,5,3.00127002872146376e+00
3,6,3.00122796750645726e+00
3,7,3.00118286933487077e+00
3,8,3.00114276389919032e+00
3,9,3.00111908164344365e+00
4,0,3.00120357024563233e+00
4,1,3.00119726873246595e+00
4,2,3.00118413059070299e+00
4,3,3.00116306046280634e+00
4,4,3.00113240944978932e+00
4,5,3.00109021074003524e+00
4,6,3.00103518519908485e+00
4,7,3.00096963791337945e+00
4,8,3.00090518393443251e+00
4,9,3.00086612380736950e+00
5,0,3.00099248419571474e+00
5,1,3.00098674724140224e+00
5,2,3.00097448861284244e+00
5,3,3.00095397925304397e+00
5,4,3.00092220403193810e+00
5,5,3.00087439848424520e+00
5,6,3.00080408781571384e+00
5,7,3.00070644824957045e+00
5,8,3.00059331090407566e+00
5,9,3.00052518451724604e+00
6,0,3.06028687124161536e+00
6,1,3.05993827153696563e+00
6,2,3.05919311315078657e+00
6,3,3.05794562929840552e+00
6,4,3.05601099002572907e+00
6,5,3.05309571987074957e+00
6,6,3.04879629019891185e+00
6,7,3.04279630843631255e+00
6,8,3.03578567007513467e+00
6,9,3.03157773651276230e+00
7,0,3.11993950175852541e+00
7,1,3.11929566286565008e+00
7,2,3.11792265253447454e+00
7,3,3.11563181545747048e+00
7,4,3.11208590371710292e+00
7,5,3.10670384401655930e+00
7,6,3.09848745932357827e+00
7,7,3.08588931592834559e+00
7,8,3.06816087543578897e+00
7,9,3.05840373944959643e+00
8,0,3.18030492900323125e+00
8,1,3.17945055488010286e+00
8,2,3.17763700530045723e+00
8,3,3.17463781740746676e+00
8,4,3.17005822051741459e+00
8,5,3.16320224047706144e+00
8,6,3.15260820670611386e+00
8,7,3.13414794558871623e+00
8,8,3.09258248721862650e+00
8,9,3.07548062505314368e+00
9,0,3.24165376877492495e+00
9,1,3.24069282317373997e+00
9,2,3.23866341714165840e+00
9,3,3.23534769986579507e+00
9,4,3.23042587830571826e+00
9,5,3.22355087390254802e+00
9,6,3.21469686825038226e+00
9,7,3.20559512224295018e+00
9,8,5.00000000000000000e+00
9,9,5.00000000000000000e+00
0,0,3.04949600250758435e+00
0,1,3.04949086633091149e+00
0,2,3.04948098145982760e+00
0,3,3.04946711839716045e+00
0,4,3.04945041613714540e+00
0,5,3.04943234587481715e+00
0,6,3.04941463525466716e+00
0,7,3.04939913266367313e+00
0,8,3.04938759863861142e+00
0,9,3.04938143871232326e+00
1,0,3.04954900951239471e+00
1,1,3.04954348636072270e+00
1,2,3.04953283221663884e+00
1,3,3.04951783246968988e+00
1,4,3.04949966275892637e+00
1,5,3.04947987017434352e+00
1,6,3.04946031777307747e+00
1,7,3.04944306165078194e+00
1,8,3.04943012809609737e+00
1,9,3.04942318583366800e+00
2,0,3.04965550573138255e+00
2,1,3.04964920373842618e+00
2,2,3.04963699580652259e+00
2,3,3.04961968569660158e+00
2,4,3.04959850505325658e+00
2,5,3.04957513271648839e+00
2,6,3.04955168994153558e+00
2,7,3.04953066242065995e+00
2,8,3.04951466813651884e+00
2,9,3.04950599704565928e+00
3,0,3.04981646087932967e+00
3,1,3.04980898378157583e+00
3,2,3.04979441831841402e+00
3,3,3.04977356725345405e+00
3,4,3.04974769994553530e+00
3,5,3.04971863268794596e+00
3,6,3.04968882321994572e+00
3,7,3.04966141798675450e+00
3,8,3.04964008422843325e+00
3,9,3.04962834331588173e+00
4,0,3.05003333745787986e+00
4,1,3.05002429537409858e+00
4,2,3.05000656796831349e+00
4,3,3.04998090571581537e+00
4,4,3.04994853714100156e+00
4,5,3.04991132347379690e+00
4,6,3.04987201311927603e+00
4,7,3.04983458062664781e+00
4,8,3.04980440479492421e+00
4,9,3.04978745793524508e+00
5,0,3.05030808588744184e+00
5,1,3.05029711931528302e+00
5,2,3.05027547490231932e+00
5,3,3.05024376834576083e+00
5,4,3.05020303555656547e+00
5,5,3.05015493205971344e+00
5,6,3.05010216198464956e+00
5,7,3.05004935154836510e+00
5,8,3.05000439561024672e+00
5,9,3.04997854702907567e+00
6,0,3.05064311649087161e+00
6,1,3.05062993146936412e+00
6,2,3.05060374496622577e+00
6,3,3.05056494699745295e+00
6,4,3.05051418551132736e+00
6,5,3.05045248775743394e+00
6,6,3.05038164928542965e+00
6,7,3.05030561087523111e+00
6,8,3.05023469015334570e+00
6,9,3.05019324090426425e+00
7,0,3.05098168836107675e+00
7,1,3.05096643676502532e+00
7,2,3.05093603712759753e+00
7,3,3.05089070848421207e+00
7,4,3.05083077492935795e+00
7,5,3.05075654094116810e+00
7,6,3.05066792188350844e+00
7,7,3.05056426181623763e+00
7,8,3.05044996224373577e+00
7,9,3.05038510103478178e+00
8,0,3.05126655401395563e+00
8,1,3.05124976087597766e+00
8,2,3.05121627167953768e+00
8,3,3.05116633377548174e+00
8,4,3.05110040965195362e+00
8,5,3.05101903189131329e+00
8,6,3.05092141595377520e+00
8,7,3.05079822720837956e+00
8,8,3.05059808505740238e+00
8,9,3.05050408131794981e+00
9,0,3.05143917442984280e+00
9,1,3.05142158025140420e+00
9,2,3.05138653420548867e+00
9,3,3.05133447380260847e+00
9,4,3.05126654020081123e+00
9,5,3.05118557780978739e+00
9,6,3.05109879604116419e+00
9,7,3.05102579628773984e+00
9,8,1.00000000000000000e+02
9,9,1.00000000000000000e+02
